"","species","sdm_max_value","inat_n_obs"
"297","Stercorarius parasiticus",0.979734361171722,0
"298","Sterna forsteri",0.321275800466537,0
"299","Sterna hirundo",0.982574462890625,0
"300","Sterna paradisaea",0.644762098789215,0
"301","Strix nebulosa",0.954999983310699,0
"302","Strix varia",0.97299998998642,48
"303","Sturnella neglecta",0.877805829048157,0
"304","Surnia ulula",0.706494987010956,0
"305","Synthliboramphus antiquus",0.980401456356049,1
"306","Tachycineta bicolor",0.926999986171722,4
"307","Taricha granulosa",0.973999977111816,73
"308","Thamnophis elegans",0.973999977111816,42
"309","Thamnophis ordinoides",0.987679719924927,25
"310","Thamnophis sirtalis",0.958000004291534,53
"311","Thomomys talpoides",NA,0
"312","Thryomanes bewickii",0.694237053394318,0
"313","Tringa flavipes",0.916512310504913,0
"314","Tringa incana",0.982999980449677,0
"315","Tringa melanoleuca",0.9276123046875,0
"316","Tringa solitaria",0.898553133010864,0
"317","Troglodytes aedon",0.621908068656921,2
"318","Troglodytes hiemalis",0.983958959579468,0
"319","Troglodytes pacificus",0.980965137481689,16
"320","Turdus migratorius",0.969987273216248,34
"321","Tympanuchus phasianellus",0.275266319513321,0
"322","Vireo cassinii",0.957466542720795,1
"323","Vireo gilvus",0.927999973297119,2
"324","Vireo huttoni",0.993832767009735,1
"325","Vireo olivaceus",0.953999996185303,0
"326","Vireo solitarius",0.858877062797546,0
"327","Xanthocephalus xanthocephalus",0.73484605550766,0
"328","Zapus princeps",0.133461862802505,0
"329","Zenaida macroura",0.890227854251862,0
"330","Zonotrichia albicollis",0.819587707519531,2
"331","Zonotrichia atricapilla",0.978211581707001,3
"332","Zonotrichia leucophrys",0.958424627780914,18
"333","Zonotrichia querula",0.982281267642975,0
