"","species","filepath","filename","sdm_max_value","taxon_group","n_obs_inat","n_obs_ebird","include"
"107","Corvus caurinus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Corvus.caurinus_NAs_pu_mask.tif","Corvus.caurinus_NAs_pu_mask.tif",0.994000017642975,"Bird",7,0,"y"
"108","Corvus corax","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Corvus.corax_NAs_pu_mask.tif","Corvus.corax_NAs_pu_mask.tif",0.967822432518005,"Bird",37,2197,"y"
"109","Cottus aleuticus","RawData/2024_11_28_SDM_Bowen_Island//Fish_mask/Cottus.aleuticus_NAs_pu_mask.tif","Cottus.aleuticus_NAs_pu_mask.tif",NA,"Fish",0,NA,NA
"110","Cottus asper","RawData/2024_11_28_SDM_Bowen_Island//Fish_mask/Cottus.asper_NAs_pu_mask.tif","Cottus.asper_NAs_pu_mask.tif",NA,"Fish",1,NA,NA
"111","Cottus cognatus","RawData/2024_11_28_SDM_Bowen_Island//Fish_mask/Cottus.cognatus_NAs_pu_mask.tif","Cottus.cognatus_NAs_pu_mask.tif",NA,"Fish",0,NA,NA
"112","Couesius plumbeus","RawData/2024_11_28_SDM_Bowen_Island//Fish_mask/Couesius.plumbeus_NAs_pu_mask.tif","Couesius.plumbeus_NAs_pu_mask.tif",NA,"Fish",0,NA,NA
"113","Cyanocitta cristata","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Cyanocitta.cristata_NAs_pu_mask.tif","Cyanocitta.cristata_NAs_pu_mask.tif",0.640421807765961,"Bird",0,0,NA
"114","Cyanocitta stelleri","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Cyanocitta.stelleri_NAs_pu_mask.tif","Cyanocitta.stelleri_NAs_pu_mask.tif",0.976000010967255,"Bird",16,631,"y"
"115","Cygnus buccinator","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Cygnus.buccinator_NAs_pu_mask.tif","Cygnus.buccinator_NAs_pu_mask.tif",0.979647696018219,"Bird",1,31,"y"
"116","Cygnus columbianus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Cygnus.columbianus_NAs_pu_mask.tif","Cygnus.columbianus_NAs_pu_mask.tif",0.895585179328918,"Bird",0,3,"y"
"117","Cypseloides niger","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Cypseloides.niger_NAs_pu_mask.tif","Cypseloides.niger_NAs_pu_mask.tif",0.969731867313385,"Bird",1,47,"y"
"118","Dendragapus fuliginosus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Dendragapus.fuliginosus_NAs_pu_mask.tif","Dendragapus.fuliginosus_NAs_pu_mask.tif",0.96399998664856,"Bird",1,8,"y"
